PARK_NAME,HOUR_COLLECTED,TOTAL_RIDES,AVG_WAIT_MINUTES,MAX_WAIT_MINUTES,MIN_WAIT_MINUTES,RIDES_OPERATING,RIDES_CLOSED
Animal Kingdom,2026-04-06 21:00:00+00:00,8,35.625,75,5,8,0
EPCOT,2026-04-06 21:00:00+00:00,12,37.5,110,10,12,0
Hollywood Studios,2026-04-06 21:00:00+00:00,9,61.666667,115,10,9,0
Magic Kingdom,2026-04-06 21:00:00+00:00,30,30.666667,80,5,30,0
Animal Kingdom,2026-04-06 20:00:00+00:00,8,34.375,65,5,16,0
EPCOT,2026-04-06 20:00:00+00:00,13,35.0,105,10,26,0
Hollywood Studios,2026-04-06 20:00:00+00:00,9,54.444444,110,10,18,0
Magic Kingdom,2026-04-06 20:00:00+00:00,29,32.931034,75,5,58,0
Animal Kingdom,2026-04-06 15:00:00+00:00,7,62.142857,115,5,14,0
EPCOT,2026-04-06 15:00:00+00:00,14,48.214286,105,15,28,0
Hollywood Studios,2026-04-06 15:00:00+00:00,9,76.111111,155,10,18,0
Magic Kingdom,2026-04-06 15:00:00+00:00,29,32.758621,105,0,58,0
Animal Kingdom,2026-04-06 14:00:00+00:00,8,47.083333,80,5,24,0
EPCOT,2026-04-06 14:00:00+00:00,13,41.923077,105,5,39,0
Hollywood Studios,2026-04-06 14:00:00+00:00,9,67.407407,120,10,27,0
Magic Kingdom,2026-04-06 14:00:00+00:00,28,29.22619,75,0,84,0
Animal Kingdom,2026-04-03 23:00:00+00:00,4,45.0,105,10,4,0
EPCOT,2026-04-03 23:00:00+00:00,13,33.846154,95,5,13,0
Hollywood Studios,2026-04-03 23:00:00+00:00,9,41.111111,75,5,9,0
Magic Kingdom,2026-04-03 23:00:00+00:00,30,28.833333,95,5,30,0
