RIDE_ID,RIDE_NAME,PARK_NAME,TOTAL_SNAPSHOTS,AVG_WAIT_MINUTES,MAX_WAIT_MINUTES,MIN_WAIT_MINUTES,VERY_LONG_WAIT_COUNT
34c4916b-989b-4ff1-a7e3-a6a846a3484f,Millennium Falcon: Smugglers Run,Hollywood Studios,9,106.666667,155,45,8
399aa0a1-98e2-4d2b-b297-2b451e9665e1,Slinky Dog Dash,Hollywood Studios,9,106.666667,130,75,9
e3549451-b284-453d-9c31-e3b1207abd79,Guardians of the Galaxy: Cosmic Rewind,EPCOT,9,104.444444,110,95,9
37ae57c5-feaf-4e47-8f27-4b385be200f0,Test Track,EPCOT,6,94.166667,105,70,6
24cf863c-b6ba-4826-a056-0b698989cbf7,Avatar Flight of Passage,Animal Kingdom,9,86.666667,115,65,9
1a2e70d9-50d5-4140-b69e-799e950f7d18,Star Wars: Rise of the Resistance,Hollywood Studios,9,86.111111,105,60,8
5a43d1a7-ad53-4d25-abfe-25625f0da304,TRON Lightcycle / Run,Magic Kingdom,9,84.444444,105,75,9
6f6998e8-a629-412c-b964-2cb06af8e26b,The Twilight Zone™ Tower of Terror,Hollywood Studios,8,73.75,85,65,8
1e735ffb-4868-47f1-b2cd-2ac1156cd5f0,Remy's Ratatouille Adventure,EPCOT,9,73.333333,95,55,6
81b15dfd-cf6a-466f-be59-3dd65d2a2807,Soarin' Around the World,EPCOT,9,67.222222,110,45,6
9d4d5229-7142-44b6-b4fb-528920969a2c,Seven Dwarfs Mine Train,Magic Kingdom,9,67.222222,75,60,8
8d7ccdb1-a22b-4e26-8dc8-65b1938ed5f0,Frozen Ever After,EPCOT,8,66.25,70,55,7
d58d9262-ec95-4161-80a0-07ca43b2f5f3,Kali River Rapids,Animal Kingdom,8,66.25,110,45,2
7a5af3b7-9bc1-4962-92d0-3ea9c9ce35f0,Na'vi River Journey,Animal Kingdom,9,65.0,80,40,5
6e118e37-5002-408d-9d88-0b5d9cdb5d14,Mickey & Minnie's Runaway Railway,Hollywood Studios,9,63.888889,75,50,5
32e01181-9a5f-4936-8a77-0dace1de836c,Kilimanjaro Safaris,Animal Kingdom,8,59.375,80,25,5
796b0a25-c51e-456e-9bb8-50a324e301b3,Jungle Cruise,Magic Kingdom,9,58.333333,70,45,3
86a41273-5f15-4b54-93b6-829f140e5161,Peter Pan's Flight,Magic Kingdom,9,55.0,70,45,1
6f6998e8-a629-412c-b964-2cb06af8e26b,The Twilight Zone Tower of Terror™,Hollywood Studios,1,55.0,55,55,0
20b5daa8-e1ea-436f-830c-2d7d18d929b5,Toy Story Mania!,Hollywood Studios,9,52.222222,65,40,2
73cb9445-0695-47a3-87ce-d08ae36b5f3c,Tiana's Bayou Adventure,Magic Kingdom,9,52.222222,75,40,1
b2260923-9315-40fd-9c6b-44dd811dbe64,Space Mountain,Magic Kingdom,9,50.555556,60,45,0
0d94ad60-72f0-4551-83a6-ebaecdd89737,The Many Adventures of Winnie the Pooh,Magic Kingdom,7,47.142857,50,35,0
d56506e2-6ad3-443a-8065-fea37987248d,Alien Swirling Saucers,Hollywood Studios,9,42.222222,60,25,0
